title,link,context,source
"""소오름 대반전"" F1 페르스타펜, 카타르GP 우승…12점차 노리스 추격",http://www.gpkorea.com/news/articleView.html?idxno=137054,"사진=레드불 F1 페이스북레드불 F1 팀의 맥스 페르스타펜이 소름돋는 막판 추월쇼를 벌이고 있다. 페르스타펜은 카타르GP에서 우승을 꿰차면서 종합 선두 랜도 노리스(맥라렌)와 점수차를 12점으로 좁혔다.2025 시즌 최종전은 다음 주 아부다비에서 벌어지며 대반전이 일어날지 전세계 모터스포츠 팬들의 이목이 집중된다. 카타르 GP까지 종합 1~3위는 노리스 408점, 페르스타펜 396점, 오스카 피아스트리 392점으로 대혼전 중이다.사진=F1대회조직위페르스타펜은 지난달 30일(현지시간) 카타르 GP에서 열린 F1 월드챔피언십 23라운드에서 우승을 차지했다. 오스카 피아스트리는 2위, 랜도 노리스는 4위에 머물렀다.페르스타펜은 3번 그리드에서 출발해 1코너에서 노리스를 추월한 후 2번째 순위에서 접전을 이어갔다. 이후 25랩이 분수령으로 작용했다. 니코 휠켄베르크와 피에르 가슬리가 접촉해 세이프티카가 투입됐고 페르스타펜을 비롯한 대부분 경주차들은 피트스톱으로 숨을 고른 후 다시 힘을 냈다.사진=레드불 F1 페이스북사진=레드불 F1 페이스북사진=레드불 F1 페이스북이때 맥라렌 듀오는 피트스톱 없이 계속 선두권을 유지하며 주행을 이어갔고, 이것이 후반부 역전의 빌미가 됐다. 치열한 순위 다툼 속에 맥라렌 듀오는 2회의 피트스톱을 거쳐야 했고 선두 자리를 페르스타펜에게 내주게 됐다.페르스타펜은 ""팀의 전략 지시가 완벽했다. 순간적으로 피트스톱을 지시했고 이에 선두 복귀가 순조로웠다""며 ""최종전에서 챔피언십 타이틀의 가능성을 얻게 돼 기쁘다""고 말했다.여전히 맥라렌의 챔피언 획득 가능성은 높다. 최종전에서 페르스타펜이 우승을 거두더라도 노리스가 3위 이내에만 들어오면 생애 첫 챔피언을 거머쥘 수 있다.반면 노리스가 이번 경기처럼 4위에 머무를 경우, 우승 25점과 4위 12점을 획득하게 돼 13점 차이로 벌어져 챔피언 자리를 내주게 된다. 최종 라운드 아부다비 그랑프리는 5~7일 열린다.사진=F1대회조직위/지피코리아 김기홍 기자 gpkorea@gpkorea.com, 사진=레드불F1, F1대회조직위저작권자 © 지피코리아 무단전재 및 재배포 금지",
"레고그룹, 여성 레이서 위한 '레고 레이싱팀' 출격..F1 아카데미와 협업",http://www.gpkorea.com/news/articleView.html?idxno=136927,"레고그룹이 여성 드라이버 육성을 위한 'F1 아카데미'와 협업해 역대 첫 ‘레고 레이싱(LEGO Racing)’ 팀을 출범시킨다.레고그룹은 지난 주말 열린 ‘2025 F1 라스베이거스 그랑프리’에서 F1 아카데미와의 새로운 파트너십을 발표했다고 28일 밝혔다.F1 아카데미는 차세대 여성 레이서를 발굴하고 지원하는 '여성 전용 레이싱 시리즈'다. 레고는 이번 파트너십을 통해 창의적인 놀이와 활동을 통해 여아를 비롯한 젊은 팬들에게 영감과 가능성을 제시한다.구체적으로는 2026년 F1 아카데미에 ‘레고 레이싱’ 팀을 출전시킨다. 선발 드라이버는 ‘2023 포드 피에스타 스프린트 컵(Ford Fiesta Sprint Cup)’에서 여성 최초로 우승을 차지한 네덜란드 출신 에스미 코스터만(Esmee Kosterman)이다.라스베이거스GP 현장에서는 ‘레고 레이싱’ 팀 출범을 기념해 공식 레이스카가 처음 공개됐다. 레고 디자인팀이 제작한 전용 리버리는 레고그룹과 F1 아카데미의 상징적인 색상을 조합한 독창적인 패턴으로 레고 놀이의 즐거움과 레이싱의 스릴을 역동적으로 표현했다.‘레고 레이싱’ 팀 레이스카를 그대로 구현한 레고 세트도 함께 공개됐다. ‘레고 스피드 챔피언 F1 아카데미 레고 레이스카(77258)’는 고유의 리버리와 타이어의 피렐리 로고까지 세심하게 재현했으며, 미니피겨를 포함해 총 201개 부품으로 구성됐다. 2026년 3월 1일 정식 출시될 예정이다.특히 총 418,000개가 넘는 브릭으로 만든 실물 크기의 핑크색 1950년대 ‘캐딜락 플리트우드 식스티 스페셜’ 레고 자동차가 트랙을 실제로 주행하며 이색 볼거리를 선사했다.이밖에 F1 아카데미 우승자를 위한 ‘레고 보태니컬’ 부케와 라스베이거스 ‘스피어’ 외벽을 장식한 레고 F1 영상, 조립 체험존 등 풍성한 즐길 거리를 선보였다./지피코리아 김기홍 기자 gpkorea@gpkorea.com, 사진=레고그룹저작권자 © 지피코리아 무단전재 및 재배포 금지",
"F1 천재 설계자 뉴이, 애스턴마틴 팀대표 된다...규정 변화 맞춰 우승 준비",http://www.gpkorea.com/news/articleView.html?idxno=136885,"사진=애스턴마틴 F1팀 페이스북세계 최고의 F1 경주차 설계자 애드리언 뉴이(66)가 2026년부터 애스턴마틴 F1팀 대표에 오른다.27일 외신들은 뉴이가 경주차 설계 뿐 아니라 팀 전반을 아우르는 대표에 오른다고 보도했다.뉴이는 레드불에서 20년간 챔피언을 배출해 냈다. 음료 회사가 전통의 자동차 회사를 단 3년 만에 모조리 꺾으며 최고의 경주차 제작 테크니션으로 이름을 날렸다.뉴이는 올해 3월 애스턴마틴 F1팀과 천문학적 금액에 계약을 맺고 내년부터 크게 바뀔 F1 경주차 룰에 따라 제작 개발을 시작했다. 뉴이는 특히 공기역학 부문에서 자신만의 노하우로 0.001초 단축을 실현해왔다.사진=애스턴마틴 F1팀 페이스북기존 CEO 앤디 코웰은 최고 전략 책임자(Chief Strategy Officer)로 자리를 바꾼다. F1에서 매우 중요한 파워유닛 공급사 혼다와 역할을 분담하는데 몰두하게 된다. 또한 가솔린 공급사 아람코와 윤활유 발보린과 파트너십 업무에 올인하게 된다.애스턴마틴은 “뉴이와 코웰이 각각의 강점에 집중하고 조직의 효율성을 극대화하기 위한 것”이라고 설명했다. 애스턴마틴의 로렌스 스트롤 회장은 이같은 결정을 단행하고 뉴이는 물론 코웰에게도 힘을 실어줄 방침이다.뉴이는 “팀 내부의 훌륭한 인재들과 함께하게 되어 기쁘다”며 “새로운 파워트레인 규정 변화에 철저히 대비해 최고의 결과를 만들겠다”고 강조했다. 애스턴마틴은 현재 컨스트럭터즈 순위 8위로 하락해 있지만 내년 준비에 집중하고 있다./지피코리아 김기홍 기자 gpkorea@gpkorea.com, 사진=애스턴마틴 F1팀 페이스북저작권자 © 지피코리아 무단전재 및 재배포 금지",
"믹 슈마허, 내년 인디카 레이스 뛴다…F1-WEC 이어 미국행",http://www.gpkorea.com/news/articleView.html?idxno=136780,"사진=하스F1팀`F1 황제` 미하엘 슈마허의 아들 믹 슈마허가 내년 시즌 미국 인디카 시리즈 출전을 선언했다.믹 슈마허는 미국 레이홀 레터맨 라니간(RLL) 레이싱팀 소속으로 내년 3월 1일 세인트피터스버그 개막전부터 시리즈에 뛰어든다.믹 슈마허는 F1 하스팀에서 43경기에 출전 후 2022년 F1을 떠나 알핀팀에서 WEC(세계 내구레이스 챔피언십)에 출전해 3회 포디엄을 기록한 바 있다.믹 슈마허는 기대와 달리 F1에서 빼어난 활약을 보이진 못하면서 내구레이스를 경험한 후 본격 미국행을 택하면서 다시 경주차에 오르게 됐다.믹 슈마허의 내년 시즌 경주차 넘버는 47번으로 확정됐으며, 총 17라운드 풀시즌 뿐만 아니라 최대 이벤트인 인디애나폴리스 500 이벤트에도 출전을 준비 중이다./지피코리아 김기홍 기자 gpkorea@gpkorea.com, 사진=하스F1팀저작권자 © 지피코리아 무단전재 및 재배포 금지",
F1 맥라렌 노리스·피아스트리 `충격의 실격`…스키드 블록 규정 위반,http://www.gpkorea.com/news/articleView.html?idxno=136728,"사진=맥라렌 F1 팀 페이스북포뮬러 원(F1) 맥라렌 팀이 라스베이거스 그랑프리 결승에서 차량 기술 규정 위반으로 인해 소속 드라이버 두 명이 실격 처리된 것에 대해 공식 사과했다.맥라렌은 23일(현지시간) 미국 라스베이거스에서 열린 F1 22라운드 경기에서 랜도 노리스와 오스카 피아스트리의 차량이 경기 후 검차에서 실격 판정을 받은 데 대해 “중요한 국면에서 실망을 안겨드려 매우 유감”이라며 “두 드라이버에게 진심으로 사과한다”고 밝혔다.이날 경기에서 노리스는 2위, 피아스트리는 4위로 결승선을 통과했으나, 레이스 종료 후 기술 규정 검사 결과 차량 밑바닥에 부착된 ‘스키드 블록(skid block)’의 두께가 규정치인 9mm보다 얇은 것으로 드러나 실격 처리됐다.스키드 블록은 F1 차량 하부에 설치되는 티타늄 재질의 보호 장치로, 차체가 트랙에 과도하게 닿는 것을 방지하는 역할을 한다. 경기 중 이 장치가 마모되며 두께가 줄어들 경우, 차량이 트랙과 접촉하는 빈도가 높아져 위험이 커진다. FIA(국제자동차연맹)는 이를 안전 규정 위반으로 간주해 실격 처분을 내린다.맥라렌 팀 관계자는 “연습 주행에서는 확인되지 않았던 예기치 못한 접지력 변화가 경기 중 발생했다”며 “차량의 움직임이 레이스 중 갑작스럽게 달라졌고, 이것이 마모 속도에 영향을 미쳤을 가능성이 있다”고 설명했다.이번 실격으로 노리스(390점)와 피아스트리(366점)는 시즌 종합 순위에서 불이익을 입게 됐으며, 드라이버 순위 경쟁이 더욱 치열해질 전망이다. 현재 맥스 페르스타펜도 366점으로 피아스트리와 동률을 이루고 있다.한편, 맥라렌은 해당 문제에 대해 내부 조사를 진행 중이며 향후 재발 방지 대책을 마련할 방침이다./지피코리아 김기홍 기자 gpkorea@gpkorea.com, 사진=맥라렌 F1 팀 페이스북저작권자 © 지피코리아 무단전재 및 재배포 금지",
"""이럴 수가..."" F1 페르스타펜, 라스베이거스GP 우승 '24점차 좁혔다'",http://www.gpkorea.com/news/articleView.html?idxno=136713,"사진=레드불 F1 레이싱 페이스북F1 미국 라스베이거스 대회에서 맥스 페르스타펜(레드불)이 우승을 차지하며 종합선두 랜도 노리스(맥라렌)를 24점차로 추격에 나섰다.페르스타펜은 23일 미국 라스베이거스 시가지 서킷에서 열린 'F1 월드챔피언십' 22라운드에서 우승을 차지하며 올시즌 챔피언을 향한 대반전의 불씨를 살렸다.페르스타펜은 노리스와 오스카 피아스트리(맥라렌)가 나란히 경주차 바닥면 규정 위반으로 탈락한 가운데 우승을 차지하며 종합포인트에서 공동 2위에 올랐다. 이날 경기까지 종합 1~4위는 노리스(390점), 페르스타펜(366점), 피아스트리(366점), 조지 러셀(294점)으로 상위권을 이루고 있다.사진=레드불 F1 레이싱 페이스북페르스타펜은 이전 경기까지 선두와 42점차였던 격차를 24점으로 줄이고 자신의 통산 챔피언 5연패를 향한 희망을 불씨를 살렸다. 이제 남은 경기는 단 2경기로 최대 58점이 걸려있어 막판 대역전의 기적의 가능성도 있다.한편 맥라렌 듀오는 선두권에서 출발했지만 노리스 브레이킹 실수로 2위와 4위로 피니시했지만 차량 규정 위반으로 완전히 실격 처리됐다. 차량 밑바닥 스키드 블록의 마모도가 9mm 이상이어야 하는 규정을 어긴 게 적발되면서 결승 경기 후 최하위이자 무득점에 그쳤다.맥라렌 경주차 MCL39를 두고 맥라렌의 대표격 3명이 입회해 재측정하는 과정까지 거쳤지만 결과는 바뀌지 않았다. 규정에 따르면 티타늄 스키드 블록의 두께는 신품으로 10mm±0.2mm, 마모 후에도 최저 9mm를 유지해야 한다.한편 메르세데스도 조지 러셀이 2위, 키미 안토넬리가 3위에 올라 더블 포디움을 기록했다./지피코리아 김기홍 기자 gpkorea@gpkorea.com, 사진=레드불 F1 레이싱 페이스북저작권자 © 지피코리아 무단전재 및 재배포 금지",
"F1 페르스타펜 “내년 시즌엔 3번과 69번으로 바꾸겠다""",http://www.gpkorea.com/news/articleView.html?idxno=136611,"사진=레드불 레이싱 페이스북맥스 페르스타펜이 내년 시즌 자신의 경주차 넘버로 3과 69번을 꼽았다.페르스타펜은 지난 2022년부터 4년 연속 챔피언을 지내면서 자동으로 1번을 사용해왔다. 하지만 올시즌 사실상 챔피언 자리를 맥라렌에게 내줄 것으로 보이면서 자신의 경주차 넘버 교체를 검토하게 됐다.페르스타펜은 챔피언 이전부터 사용해 오던 33번 대신 3번을 선호한다고 현지 매체와 인터뷰 했다. 3자를 유독 좋아하는데 이번엔 3을 한번만 사용해 보고 싶다는 의지를 밝힌 것.다만 3번은 이미 다니엘 리카르도가 사용하고 있어 번호 교체가 어려울 수도 있다. 3번이 불가해진다면 69번을 고려하고 있다. 페르스타펜은 ""앞에서 보든 뒤에서 보든 어느 각도에서도 69로 명확하다""고 이유를 밝혔다./지피코리아 김기홍 기자 gpkorea@gpkorea.com, 사진=레드불 레이싱저작권자 © 지피코리아 무단전재 및 재배포 금지",
"`페라리 F1 영입설' 호너...윌리엄스-캐딜락-애스턴마틴은 ""NO!""",http://www.gpkorea.com/news/articleView.html?idxno=136557,"사진=레드불 레이싱크리스천 호너(51)가 페라리 F1에 전격 영입된다는 소문이 돌고 있다. 최근 새로운 F1팀을 인수 창단한다는 공식적인 보도에도 이같은 루머는 계속되고 있다.호너는 레드불에서 해고된 후 여러 팀으로부터 영입설이 나돌았다. 하지만 최근 들어 윌리엄스, 캐딜락, 애스턴마틴 F1에서는 영입에 관심 없다는 입장을 들을 수 있었다.유럽 현지 매체들은 호너와 전 F1 소유주였던 버니 에클레스턴(95)의 합작설도 나돌고 있지만, 버니는 ""대체 내가 몇살이 돼야 이런 소문이 사라지는 거냐""며 가능성을 일축했다.호너는 레드불에서 천재 설계자 아드리안 뉴이와 손잡고 포뮬러원 챔피언을 줄곧 배출해왔다. 세바스티앙 페텔과 맥스 페르스타펜이 4년 이상씩 챔피언 트로피를 들어 올렸다.하지만 금이 가기 시작하면서 뉴이는 애스턴마틴으로 떠났고 호너 역시 해고된 후 수천억의 퇴직금을 갖고 잠시 업계를 떠나 있다. 검증된 경영 능력과 챔피언을 만드는 능력을 지닌 호너를 향해 여러 팀들은 영입을 고려했지만 워낙 거물이라 조건을 맞추기는 쉽지 않다.결국 페라리가 상당한 의향이 있는 것으로 알려지고 있다. 페라리는 과거 세계 최고의 F1 팀으로 군림해 왔지만 비효율적인 경영능력이나 전략 손실로 10년여째 상위권에 이름을 올리지 못하고 있다.페라리는 올해 프레드릭 바스루 대표와 계약을 연장했지만 호너 영입설은 계속되고 있다./지피코리아 김기홍 기자 gpkorea@gpkorea.com, 사진=레드불 레이싱저작권자 © 지피코리아 무단전재 및 재배포 금지",
“F1에서 배우는 조직 전략”…변동식 전 협회장 `F1 리더십` 출간,http://www.gpkorea.com/news/articleView.html?idxno=136552,"변동식 전 대한자동차경주협회장이 신간 ‘F1 리더십(메디치미디어 펴냄)’을 선보여 화제다. 대중에게는 아직 생소한 자동차경주에다 기업 경영을 한데 묶어 재미와 정보를 선사한다.변 전회장은 “모든 상황들이 극한인 포뮬러원(F1) 경기는 한계상황을 설정하고 그것을 극복하는 일이라는 점에서 기업 경영과 맥락이 닿아 있다""며 ""어떤 조직이든 F1 팀처럼 협력하면 못할 일이 없는 셈""이라는 게 이 책의 요지다.변 전 회장은 CJ헬로비전·CJ미디어·CJ오쇼핑 대표를 지낸 전문경영인이다. 2011년 제7대 대한자동차경주협회장으로 선출돼 F1과 처음 인연을 맺었다.변동식 전 대한자동차경주협회장당시 전남 영암에서 치러진 한국 최초의 ‘F1 코리아 그랑프리’ 대회를 앞두고 서킷 인증 등 공인 업무를 담당했다. 불모지나 다름없는 척박한 환경에서 대회를 치르며 많은 노하우를 축적했다.‘F1 리더십’에는 F1 팀들의 타이어 사용 전략을 기업의 자원 배분과 리스크 관리에, F1 감독과 피트 크루(정비공)를 기업의 백오피스(지원부서)와 비교해 설명하고 있다.또한 책에서는 기업과 F1은 동일하게 ‘속도의 본질은 통제’라는 점에서 균형있는 개선을 중시하고 있다. 기업도 기술적 우위와 조직적 통제 장치를 조화시키는 조직만이 승리할 수 있다는 점이 강조돼 있다.이밖에 변 전 회장은 경기 침체와 미국발 관세 리스크 등 대내외적으로 경영 불확실성이 높아지는 상황에서 유의해야 할 경영 요소로 조직의 유연성을 꼽기도 했다./지피코리아 김기홍 기자 gpkorea@gpkorea.com, 사진=메디치미디어저작권자 © 지피코리아 무단전재 및 재배포 금지",
"""F1이 별거야"" 전기 콘셉트카 'DGR-Lola' 공개…모나코 서킷 11초 앞서",http://www.gpkorea.com/news/articleView.html?idxno=136550,"사진=DGR-Lola전 F1 드라이버 출신이자 현재 '롤라 야마하 ABT 포뮬러 E 팀'의 루카스 디 그라시가 설계에 적극 참여한 전기 콘셉트카 ‘DGR-Lola’가 영국에서 20일 공개됐다.디 그라시가 직접 차량 디자인에 참여하고 테스트 드라이버로 검증에 나선 슈퍼 전기 콘셉트카다. 영국의 레이싱카 제조업체 롤라(Lola Cars)의 기술 지원을 받아 이번 프로젝트를 진행했다.'DGR-Lola'는 가변형 액티브 에어로다이내믹스, 공기저항 감소 설계, 모듈형 배터리 시스템, 오픈 소스 소프트웨어 통합을 이룬 모델로 알려졌다.F1 경주차와 비교해도 더 빠른 것으로 시뮬레이션 결과 나타났다. 모나코 서킷에서 대결했을때 최대 11초 빠른 기록에 코스를 주파할 수 있다는 게 제조사 측의 설명이다.사진=DGR-Lola사진=DGR-Lola이 모델의 공차중량은 약 1.5톤이며, 측면의 배터리 모듈을 제거하면 약 200kg의 경량화가 가능해 배터리 용량에 따른 속도 제어도 가능하게 설계됐다.'DGR-Lola'는  2개의 모터로 총 600kW(약 804마력)의 출력을 내는 4륜 구동 시스템을 갖췄고, 에너지 효율은 현재 F1 차량보다 10배 높다고 알려졌다. 추가적인 60kWh 용량의 모듈식 배터리로 추가적 파워도 가능하다.디 그라시는 “이 차량은 모나코 F1 예선 페이스로 12랩, F1 레이스 페이스로는 15~20랩 주행이 가능하다”며 ""향후 2년 내 실차로 제작하는 게 목표""라고 말했다./지피코리아 김기홍 기자 gpkorea@gpkorea.com, 사진=DGR-Lola저작권자 © 지피코리아 무단전재 및 재배포 금지",
